# Version 1.00
#
freq[Hz];Trc2_S11[°];
1.000000000000000E+007;-7.454752695718862E+001;
1.014950747537377E+007;-7.488425744055101E+001;
1.029901495074754E+007;-7.737587843699082E+001;
1.044852242612131E+007;-7.812384962689484E+001;
1.059802990149508E+007;-7.862729129249655E+001;
1.074753737686884E+007;-8.003044547625073E+001;
1.089704485224261E+007;-8.152727966985020E+001;
1.104655232761638E+007;-8.302495148437295E+001;
1.119605980299015E+007;-8.430606567742663E+001;
1.134556727836392E+007;-8.576081213590416E+001;
1.149507475373769E+007;-8.675616400887827E+001;
1.164458222911146E+007;-8.773749549962508E+001;
1.179408970448523E+007;-8.840475125538430E+001;
1.194359717985899E+007;-9.004660706387453E+001;
1.209310465523276E+007;-9.136976950957291E+001;
1.224261213060653E+007;-9.168524453729621E+001;
1.239211960598030E+007;-9.268830782643158E+001;
1.254162708135407E+007;-9.428025009192025E+001;
1.269113455672784E+007;-9.485633084382739E+001;
1.284064203210161E+007;-9.613823510976015E+001;
1.299014950747537E+007;-9.745324057459277E+001;
1.313965698284914E+007;-9.867399923574233E+001;
1.328916445822291E+007;-1.002988316133615E+002;
1.343867193359668E+007;-1.008786774106123E+002;
1.358817940897045E+007;-1.025170597168121E+002;
1.373768688434422E+007;-1.038688586061545E+002;
1.388719435971799E+007;-1.050138366782220E+002;
1.403670183509176E+007;-1.062026240706472E+002;
1.418620931046552E+007;-1.070160100823641E+002;
1.433571678583929E+007;-1.081691475220713E+002;
1.448522426121306E+007;-1.091347785910150E+002;
1.463473173658683E+007;-1.103323115729979E+002;
1.478423921196060E+007;-1.113401949334996E+002;
1.493374668733437E+007;-1.126739920217115E+002;
1.508325416270814E+007;-1.133637439741912E+002;
1.523276163808191E+007;-1.151361634449460E+002;
1.538226911345567E+007;-1.168868465616658E+002;
1.553177658882944E+007;-1.175547494186112E+002;
1.568128406420321E+007;-1.184891497881786E+002;
1.583079153957698E+007;-1.196220371696924E+002;
1.598029901495075E+007;-1.206504048271611E+002;
1.612980649032452E+007;-1.222491616990906E+002;
1.627931396569829E+007;-1.234224814198173E+002;
1.642882144107205E+007;-1.243663693973116E+002;
1.657832891644582E+007;-1.255408154725069E+002;
1.672783639181959E+007;-1.266812399809097E+002;
1.687734386719336E+007;-1.281671694496398E+002;
1.702685134256713E+007;-1.291099344751154E+002;
1.717635881794090E+007;-1.303981907481606E+002;
1.732586629331467E+007;-1.313090042228789E+002;
1.747537376868843E+007;-1.328445017496439E+002;
1.762488124406220E+007;-1.334409559231831E+002;
1.777438871943597E+007;-1.354531194139458E+002;
1.792389619480974E+007;-1.358170295156204E+002;
1.807340367018351E+007;-1.371758232445991E+002;
1.822291114555728E+007;-1.384631465647364E+002;
1.837241862093104E+007;-1.394781398227973E+002;
1.852192609630482E+007;-1.409379916900232E+002;
1.867143357167859E+007;-1.419930646423246E+002;
1.882094104705235E+007;-1.433786395284111E+002;
1.897044852242612E+007;-1.445321134396674E+002;
1.911995599779989E+007;-1.454613997912897E+002;
1.926946347317366E+007;-1.468564101048767E+002;
1.941897094854743E+007;-1.478661051225069E+002;
1.956847842392120E+007;-1.489497262935970E+002;
1.971798589929497E+007;-1.501898725816557E+002;
1.986749337466873E+007;-1.512343845366955E+002;
2.001700085004250E+007;-1.525827954534390E+002;
